시도,발생월,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
서울,사고건수,"2,687","2,566","3,335","3,316","3,628","3,576","3,752","3,544","3,482","3,698","3,656","3,552"
서울,사망자수,30,27,32,39,42,33,32,27,35,40,28,35
서울,부상자수,"3,880","3,624","4,624","4,583","5,066","5,124","5,158","4,996","4,827","5,260","5,091","5,112"
부산,사고건수,959,926,"1,161","1,088","1,149","1,035","1,147","1,096",985,"1,109","1,027","1,011"
부산,사망자수,21,11,14,11,8,10,17,12,15,17,20,12
부산,부상자수,"1,333","1,308","1,732","1,556","1,626","1,458","1,566","1,594","1,443","1,546","1,433","1,435"
대구,사고건수,"1,026",937,"1,274","1,265","1,327","1,119","1,289","1,282","1,208","1,337","1,276","1,179"
대구,사망자수,11,10,18,15,15,12,13,14,17,15,21,24
대구,부상자수,"1,504","1,368","1,815","1,720","1,919","1,625","1,808","1,926","1,741","1,874","1,837","1,677"
인천,사고건수,643,576,738,790,804,718,733,751,754,778,774,787
인천,사망자수,10,7,12,10,12,14,11,9,18,17,18,11
인천,부상자수,973,908,"1,148","1,156","1,235","1,130","1,105","1,165","1,093","1,171","1,162","1,174"
광주,사고건수,597,536,725,714,724,637,713,697,704,752,698,697
광주,사망자수,8,9,8,4,6,5,15,8,8,11,11,8
광주,부상자수,955,881,"1,175","1,127","1,174",979,"1,126","1,170","1,183","1,257","1,129","1,133"
대전,사고건수,372,313,454,436,516,487,520,552,581,604,583,481
대전,사망자수,11,9,7,7,8,9,7,8,8,8,10,8
대전,부상자수,568,477,705,654,783,750,792,788,875,926,875,700
울산,사고건수,335,324,391,452,442,434,479,433,422,530,488,450
울산,사망자수,12,4,12,7,3,9,5,10,10,10,11,15
울산,부상자수,484,489,578,634,672,620,696,662,630,752,728,642
세종,사고건수,24,29,37,46,44,37,40,54,36,49,47,39
세종,사망자수,1,3,1,1,1,1,3,1,1,4,2,1
세종,부상자수,37,67,68,91,82,55,62,102,57,86,64,79
경기,사고건수,"3,487","3,033","3,839","3,924","4,234","3,891","4,272","4,200","4,167","4,423","4,341","4,301"
경기,사망자수,75,72,64,65,78,57,100,67,67,78,97,90
경기,부상자수,"5,415","4,738","5,860","6,103","6,499","5,808","6,521","6,747","6,359","6,710","6,450","6,634"
강원,사고건수,670,521,624,670,824,710,781,870,728,842,712,653
강원,사망자수,19,11,17,18,15,23,21,14,21,23,24,17
강원,부상자수,"1,183",937,933,990,"1,366","1,235","1,333","1,573","1,190","1,420","1,157","1,005"
충북,사고건수,645,503,691,729,852,764,779,790,815,828,817,724
충북,사망자수,24,13,16,22,20,20,20,24,30,18,26,20
충북,부상자수,"1,064",854,"1,112","1,103","1,367","1,266","1,275","1,377","1,346","1,465","1,355","1,175"
충남,사고건수,542,446,645,664,867,674,756,786,775,797,791,617
충남,사망자수,21,26,35,27,36,30,31,32,44,43,45,35
충남,부상자수,854,707,"1,044",989,"1,324",961,"1,275","1,237","1,180","1,228","1,184",918
전북,사고건수,665,579,789,785,947,775,792,819,911,939,867,701
전북,사망자수,21,21,20,20,38,29,22,21,34,46,28,35
전북,부상자수,"1,081",896,"1,302","1,243","1,514","1,199","1,238","1,341","1,465","1,430","1,313","1,105"
전남,사고건수,700,575,866,822,964,874,877,866,872,938,912,834
전남,사망자수,35,30,30,28,35,40,29,34,40,37,39,40
전남,부상자수,"1,172",964,"1,369","1,253","1,611","1,378","1,438","1,492","1,501","1,475","1,489","1,451"
경북,사고건수,"1,184","1,018","1,308","1,309","1,431","1,283","1,253","1,316","1,298","1,420","1,341","1,185"
경북,사망자수,50,37,37,23,42,38,46,34,46,56,41,30
경북,부상자수,"1,859","1,548","1,967","1,966","2,198","1,881","1,969","2,101","2,046","2,155","2,034","1,772"
경남,사고건수,994,880,"1,198","1,074","1,198","1,126","1,121","1,156","1,143","1,274","1,139","1,131"
경남,사망자수,32,24,28,37,34,34,26,33,46,36,44,42
경남,부상자수,"1,414","1,266","1,749","1,608","1,713","1,684","1,712","1,766","1,629","1,823","1,624","1,583"
제주,사고건수,375,299,345,359,363,390,345,391,362,442,403,410
제주,사망자수,8,11,7,7,5,3,9,11,5,11,11,4
제주,부상자수,552,469,533,547,535,587,522,596,487,621,600,607
